category,original_text,refined_text
1,옛날 얌생이; 옛날 버릇 못 고치면 생기는 일 치면,"""옛날 얌생이; 옛날 버릇 못 고치면 생기는 일 치면""  
""옛날 습관, 고치지 않으면 벌어지는 일들"""
1,누군가 5천 빼고 적음 맥고띵 q 멤버들 형들 예능 그렇게 할거에요? ㅏ격 없음 pha-joks 누군가 5천원 썼을 거라며 10원 빼고 적음 멤버를 입삽하다며 꾸짖지만 타격 없음,"""누군가 5천원 썼다고? 멤버들, 예능 그렇게 할 거야? 타격은 없어!"""
1,수냄새는 대한민국 모든 부부가 공감하는 육아 영상 kcc switzen],"""수냄새, 대한민국 모든 부부가 공감하는 육아 이야기 [KCC 스위첸]"""
1,co cl..???? what.???,"""코카콜라, 이제 사라지나요?"""
1,거울 거울치료; 거울치료 당하면 생기는 일 하면,"""거울 치료, 경험하면 어떤 변화가?"""
2,국산 전기차는 아직 멀었나요? (5999만원) [테슬라 모델3],"""국산 전기차, 아직 갈 길이 먼가요? (5999만원) [테슬라 모델3]"""
2,o nio ev9 다른점!!! 이걸..찾다니...?? 아이오닉9 하체분석!,"""EV9과 아이오닉9의 차이점! 하체 분석으로 밝혀낸 비밀!"""
2,팰리세이드 진짜 위험한가요..? 현대 팰리세이드 직접 타봤습니다,"""현대 팰리세이드, 정말 위험할까요? 직접 타보고 느낀 솔직 후기!"""
2,이거는 부싱에 뿌리지 마세요. 테스트 종결! 양털유? 활대부싱임... 실리콘? wd403,"""이 제품, 부싱에 절대 뿌리지 마세요! 테스트 결과 공개! 양털유? 활대부싱? 실리콘? WD-403?"""
2,gleeed zic 중량 2.5톤멧돼지.. 마지막 v8 m5 하체리뷰,"""글리드 지크, 2.5톤 멧돼지의 위엄... 마지막 V8 M5 하체 리뷰"""
3,(장난킹) (골반킹) (팩폭킹 100만 (애교킹) 키잼바이투게더,"""(장난킹) (골반킹) (팩폭킹) (애교킹) 키잼 바이 투게더!"""
3,라면,"""라면의 모든 것!"""
3,nepal banglades 어느 재난 영화의 한국 사망자수 myanmar russia bangladesh myanmar russia dead: dead: korea korea china dead: dead: dead: india 한국 2억 4천만 china india,"""네팔, 방글라데시, 미얀마, 러시아에서 발생한 재난, 한국인 사망자 수는? 인도와 중국까지 포함된 충격적인 소식!"""
3,800일째 호텔에 사는 남자,"""800일째 호텔에서 살아가는 남자"""
3,모르면 인천 모르면 진짜 손해보는 인천 여행찐맛집 해보는 맛집,"""인천을 모르면 손해! 꼭 가봐야 할 인천의 진짜 맛집"""
4,(멸치) 챌린저 멸치의 프링글스 먹방 (멸치의 2대 매드무비 pringles,"""챌린저 멸치의 프링글스 먹방! 멸치의 두 번째 매드무비, 프링글스 편"""
4,챌린저 멸치의 치킨 먹방 (치킨 8길,"""챌린저 멸치의 치킨 8마리 도전 먹방!"""
4,(금사향) (엄브) (푸린) (나나양) 종겜동 repo,"""금사향, 엄브, 푸린, 나나양과 함께하는 종겜동 리포!"""
4,b *타릭 w *텐즈 역대 최고의 경험,"""타릭과 텐즈의 역대급 경험"""
4,이거였구나ㅋㅋㅋ 메르시 팟지 원본 이래도 오버워치 안 해?,"""이거였어?ㅋㅋㅋ 메르시 팟지 원본, 이래도 오버워치 안 할 거야?"""
5,spotime 맨시티 '천적' 토트넘 직전 맞대결 '8분 요약',"""스포타임: 맨시티 vs 토트넘, '천적' 대결 8분 요약"""
5,"겨울, 눈이 와도 상관없다! 김병만의 경이로운 플레이 스인 주 현재","""겨울, 눈이 와도 문제없어! 김병만의 놀라운 플레이, 지금 바로 확인하세요!"""
5,spotime 펄펄 날아다닌 '손흥민' 8분 만에 '2도움' 작렬,"""손흥민, 8분 만에 '2도움'으로 스포타임을 빛내다!"""
5,흠... fuxx,"""음... 뭐지?"""
5,lge.com e.com wins baseball club lg twins baseball club lg twins e club lg twins baseball club lg twins baseball club of 시작부터 메가트윈스포,"""LG 트윈스, 시작부터 메가트윈스포!"""
6,요? 엄마가능할까요? p101010,"""엄마가 이걸 할 수 있을까요? p101010"""
6,"“나같은 나같은 「쪼꼬미에게 에게""","""나 같은 쪼꼬미에게"""
6,놀이공원 알바 한국 vs 미국 촬영해,"""한국 vs 미국 놀이공원 알바 체험기"""
6,"김구라는 예상했던 걸까? 아니면 우연일까? 요리사 도 요리사 맞음? ""아니 내가 몰라서 그런게 아니라","""김구라의 예측? 우연의 일치? 요리사 맞아? '내가 모르는 게 아니야'"""
6,머리가 뛰어나면 뭘해도 먹고살지 제목은 하게,"""똑똑하면 뭐든지 성공한다!"""
7,"현장영상 tbc news ""저희 집에 강아지가 있는데"" 자신감 '씰룩' 김계리 점점..","""현장 영상 tbc 뉴스: '저희 집에 강아지가 있는데' 자신감 넘치는 김계리의 변화!"""
7,mbc 뉴스데스크 03월 17일[월],"""MBC 뉴스데스크 3월 17일 월요일 방송"""
7,mbc 뉴스투데이 4월 7일[월],"""MBC 뉴스투데이 4월 7일 월요일 방송"""
7,mbc 뉴스데스크 03월 03일 [월],"""MBC 뉴스데스크 3월 3일 월요일 방송"""
7,mbc 뉴스데스크 03월 24일[월],"""MBC 뉴스데스크 3월 24일 월요일 방송"""
8,100만원짜리 마이크 고량주 땡기는 영상 2탄 (이번엔 진짜,"""100만원짜리 마이크로 고량주 땡기는 영상 2탄 (이번엔 진짜)"""
8,박씨 냥밍월드 연기를 그만두고 공장을 다녔다는 학씨 부인? 학씨 부인 최서안 배우는,"""박씨 냥밍월드 연기 그만두고 공장 다닌 학씨 부인? 배우 최서안의 이야기"""
8,"피힐 무비스푼 아이유도 피할 수 없었던 스콘 그 시절 끔찍한 시집살이 피할 수 없는 시월드 넷플릭스톡 속았다"" 팔로우구독하고 더 재미있는 소식받기 월드","""피힐 무비스푼: 아이유도 피할 수 없었던 그 시절의 끔찍한 시집살이! 넷플릭스톡에서 속지 마세요. 팔로우하고 더 재미있는 소식 받아보세요!"""
8,"bb (가족들은 여행갔는데.. ""누구세요...?","""가족들은 여행 중... '이게 누구지?'"""
8,고양이라고??? 내가? 가?,"""내가 고양이라고? 정말 내가?"""
9,포항자유매국 김영주 단 국민이 식 투 지켜보고 김보 대한민국 1호프로 반공러 shpich,"""포항 자유 매국 김영주, 국민이 지켜보는 대한민국 1호 프로 반공러"""
9,가장 난처한 질문 한국 vs 미국?,"""한국과 미국, 가장 난감한 질문은?"""
9,고노 다로 전 일본 외무대신이 생각하는 한미일의 현재와 미래,"""고노 다로 전 일본 외무대신이 바라본 한미일의 현재와 미래"""
9,2월 ism 제조업 pmi 미국 증시 라이브 2025년 03월 03일 (월),"""2025년 3월 3일 (월) 미국 증시 라이브: 2월 ISM 제조업 PMI"""
9,비농업 취업자수/암호화폐 서밋 미국 증시 라이브 2025년 03월 07일 (금),"""비농업 취업자 수/암호화폐 서밋, 미국 증시 라이브 - 2025년 3월 7일 (금)"""
10,이러니까 갤럭시에 뻑이가지;;; 남자는 the edit,"""이래서 갤럭시에 빠질 수밖에 없지! 남자의 선택, 더 에디트"""
10,완벽한 복제인간이 있다면 누가 '진짜' 나일까?,"""완벽한 복제인간이 존재한다면, '진짜' 나는 누구일까요?"""
10,3분이며 파악되는 아이폰163 ..ge..natnya... min d,"""3분 만에 알아보는 아이폰163의 모든 것!"""
10,"직무 ""직무를 왜 선택했냐” 이거예요 했나”","""왜 이 직무를 선택했냐고요? 바로 이 이유 때문이에요!"""
10,"이 두께, 성능.. 말이 되나? 전세계를 뒤집은 폴더블 폰","""이 두께와 성능, 믿을 수 있나요? 전 세계를 놀라게 한 폴더블 폰"""
